Student_ID,Full_Name,Date_of_Birth,Grade_Level,Emergency_Contact,Age,Age_Band,Has_Valid_Contact
S00072,Dean Cook,2014-11-04,Grade 4,001-758-844-1898,10.0,0-14,True
S00073,Christopher Salinas,2011-01-04,Grade 5,+1-345-573-1319x25182,14.0,0-14,True
S00074,Mr. Mark Erickson,2017-03-14,Grade 4,(830)226-4434x860,8.0,0-14,True
S00075,Jasmine Allen,2017-10-12,Grade 1,2018302268,7.0,0-14,True
S00076,Robert Martin,2013-06-28,Grade 1,583-732-3507,11.0,0-14,True
S00077,Amanda Perry,,Grade 2,661-265-1096,,Unknown,True
S00078,Brian Sims,2012-02-11,Grade 3,+1-645-569-2056,13.0,0-14,True
S00079,Krista Martinez,2008-05-03,Grade 2,281.813.2086x65169,17.0,15-19,True
S00080,Aaron Baldwin,2013-04-26,Grade 4,805-939-0145,12.0,0-14,True
S00081,John Underwood,2013-05-01,Grade 1,+1-547-943-4476,12.0,0-14,True
S00082,Shawn Martin,2016-10-12,Grade 4,735-761-2346x7222,8.0,0-14,True
S00083,Michael Harrison,2017-07-21,Grade 3,212-346-7556x883,7.0,0-14,True
S00084,Wanda Eaton,2012-09-14,Grade 4,(920)333-9999x29113,12.0,0-14,True
S00085,Taylor Juarez,2018-06-07,Grade 2,(823)791-7451x6613,7.0,0-14,True
S00086,Michael Lee,,Grade 3,001-577-831-6105x317,,Unknown,True
S00087,Beth Mendoza,2012-01-18,Grade 3,887.394.4200,13.0,0-14,True
S00088,Michele James,,Grade 5,+1-642-207-7825x9469,,Unknown,True
S00089,Noah Dougherty,2006-06-02,Grade 5,(859)255-3549x677,19.0,15-19,True
S00090,David Downs,2011-11-26,Grade 2,001-922-813-4880,13.0,0-14,True
S00091,Mary Williams,2014-10-19,Grade 3,(860)760-0220x9569,10.0,0-14,True
S00092,Jason Parker,,Grade 3,5635730168,,Unknown,True
S00093,Robert Stewart,2009-06-30,Grade 1,+1-477-789-7616x158,15.0,15-19,True
S00094,Paul Ortega,2013-02-15,Grade 2,(999)431-7914,12.0,0-14,True
S00095,George Williams,2008-09-01,Grade 2,+1-401-399-8240x5936,16.0,15-19,True
S00096,Dawn Hall,2007-05-21,Grade 4,+1-795-792-4545,18.0,15-19,True
S00097,Tyler Schroeder,2009-03-25,Grade 5,+1-314-761-8012x48970,16.0,15-19,True
S00098,Courtney Taylor,2006-06-03,Grade 3,258-779-3223x424,19.0,15-19,True
S00099,Jason George,2011-06-04,Grade 2,Not Provided,14.0,0-14,True
S00100,Anthony Villarreal,2016-04-12,Grade 3,(935)617-3478x6764,9.0,0-14,True
S00101,William Mitchell,2008-11-06,Grade 5,749.923.7131x37550,16.0,15-19,True
S00102,Stacey Ramos,2011-06-11,Grade 4,764.975.1451,14.0,0-14,True
S00103,Jacqueline Richard,2010-10-19,Grade 5,+1-744-926-8903,14.0,0-14,True
S00104,Allison Flores,2014-10-06,Grade 3,7568298027,10.0,0-14,True
S00105,John Singleton,2008-07-21,Grade 3,559-603-6410,16.0,15-19,True
S00106,Matthew Chandler,2006-12-29,Grade 1,(779)498-1573,18.0,15-19,True
S00107,Brian Ferguson,2017-01-13,Grade 3,+1-259-851-3309x68675,8.0,0-14,True
S00108,James Orozco,,Grade 5,774-779-6874x1712,,Unknown,True
S00109,Sandy Lee,2017-09-28,Grade 1,+1-464-608-0980x749,7.0,0-14,True
S00110,Scott Perez,2007-04-19,Grade 5,(948)628-8304x11021,18.0,15-19,True
S00111,Dylan Jones,2009-10-01,Grade 1,813-751-1036,15.0,15-19,True
S00112,Barbara Taylor,2015-10-26,Grade 5,Not Provided,9.0,0-14,True
S00113,Brandon Garcia,2006-08-15,Grade 2,+1-541-463-4530x74598,18.0,15-19,True
S00114,Kathryn Wilson,2009-08-02,Grade 2,(302)366-6634,15.0,15-19,True
S00115,Brian Lowe,2007-10-29,Grade 3,222.761.3749x29075,17.0,15-19,True
S00116,Julie Schneider,2016-07-12,Grade 1,625.450.0857,8.0,0-14,True
S00117,Julie Bush,2014-07-26,Grade 5,726.427.4243x66185,10.0,0-14,True
S00118,Ellen Carter,2016-05-31,Grade 3,8367972128,9.0,0-14,True
S00119,Kimberly Ryan,2007-02-20,Grade 1,Not Provided,18.0,15-19,True
S00120,Paul Ramos,2018-09-25,Grade 1,+1-453-850-8972x4586,6.0,0-14,True
S00121,Benjamin Martin,2012-03-27,Grade 4,680.867.6297x1013,13.0,0-14,True
S00122,Kristine Johnston,,Grade 4,+1-792-896-7675x900,,Unknown,True
S00123,Elizabeth Morales,2018-03-18,Grade 2,(957)807-3322x9791,7.0,0-14,True
S00124,Glenn Alexander,2015-10-31,Grade 5,749-446-5768x5902,9.0,0-14,True
S00125,Charles Guerrero,,Grade 5,(866)688-9369,,Unknown,True
S00126,Jeremy Rhodes,2011-03-05,Grade 3,716-750-8815,14.0,0-14,True
S00127,Denise Evans,2010-06-23,Grade 3,649.801.9380,15.0,15-19,True
S00128,Dr. Jamie Stewart,2007-04-14,Grade 3,+1-310-426-3533x5178,18.0,15-19,True
S00129,Anthony White,2017-01-30,Grade 2,774-490-1258,8.0,0-14,True
S00130,Eduardo Miranda,2012-06-30,Grade 1,990.638.5401x29299,12.0,0-14,True
S00131,Gregory Schroeder,2013-04-05,Grade 3,Not Provided,12.0,0-14,True
S00132,Jeremiah Frank,2015-11-30,Grade 1,+1-446-493-5059x44155,9.0,0-14,True
S00133,Kathy Jordan,2016-06-09,Grade 4,682.965.6945x6002,9.0,0-14,True
S00134,Brett Knight,2018-06-20,Grade 4,972-273-5638,7.0,0-14,True
S00135,Traci Johnson,2007-07-28,Grade 1,6562939872,17.0,15-19,True
S00136,Mr. John Salas,2016-04-18,Grade 2,001-556-620-3226x8281,9.0,0-14,True
S00137,Cory Garcia,2011-09-12,Grade 4,9676379410,13.0,0-14,True
S00138,Michael Mccall,2017-07-17,Grade 2,653.629.8453,7.0,0-14,True
S00139,Jeffrey Pace,2014-04-17,Grade 5,854.241.8982,11.0,0-14,True
S00140,Joshua Smith,2007-06-01,Grade 3,001-741-649-2163x714,18.0,15-19,True
S00141,Mary Mccullough Dds,2006-06-19,Grade 5,001-716-752-5816x998,19.0,15-19,True
S00142,Brian Phillips,2009-10-04,Grade 5,(874)461-7223x9991,15.0,15-19,True
S00143,Cynthia Macdonald,2008-06-12,Grade 3,916-372-4695x15443,17.0,15-19,True
S00144,Dylan Riddle,2016-05-16,Grade 5,+1-280-383-2852x122,9.0,0-14,True
S00145,Bonnie Mitchell,2017-05-12,Grade 3,387-490-6820,8.0,0-14,True
S00146,Kaylee Stewart,,Grade 1,774-946-3285x062,,Unknown,True
S00147,Kimberly Williams,2009-01-11,Grade 2,6567747324,16.0,15-19,True
S00148,Travis Moreno,2015-05-13,Grade 5,+1-568-423-9707x37227,10.0,0-14,True
S00149,Nicholas Pope,2015-08-06,Grade 3,(831)807-6360,9.0,0-14,True
S00150,William Griffin,2015-06-09,Grade 5,Not Provided,10.0,0-14,True
S00151,Kenneth Mccormick,,Grade 1,+1-957-745-9765x55393,,Unknown,True
S00152,Hannah Baker,2017-12-30,Grade 5,753.218.2172x24296,7.0,0-14,True
S00153,Megan Noble,2014-07-06,Grade 2,001-381-959-6172x50580,10.0,0-14,True
S00154,Chris Robles,,Grade 4,001-287-237-5597x080,,Unknown,True
S00155,Sean Baker,2006-06-04,Grade 3,+1-787-416-9684x743,19.0,15-19,True
S00156,Joy Wilkins,2010-01-03,Grade 4,526-468-0151,15.0,15-19,True
S00157,Derrick Hall,2011-12-14,Grade 3,(310)810-9893,13.0,0-14,True
S00158,Jordan Compton,2017-08-18,Grade 3,665-811-6217x4175,7.0,0-14,True
S00159,Erika Johnson,2013-03-19,Grade 1,+1-959-683-5469,12.0,0-14,True
S00160,Robert Gibson,2017-02-22,Grade 5,(933)503-5929,8.0,0-14,True
S00161,Jill Valdez,2014-12-07,Grade 2,795.872.7881x0527,10.0,0-14,True
S00162,Robert Baxter,2017-10-11,Grade 3,001-863-830-8594x551,7.0,0-14,True
S00163,Ryan Gordon,,Grade 1,(773)740-2829,,Unknown,True
S00164,Angela Gregory,2012-01-06,Grade 2,001-891-678-9593x0460,13.0,0-14,True
S00165,Christina Parker,2008-04-11,Grade 4,+1-977-523-3238x06614,17.0,15-19,True
S00166,Melissa Williams,,Grade 5,(469)300-5323x87878,,Unknown,True
S00167,Mrs. Jody Campbell,2016-08-17,Grade 5,001-686-784-4423x112,8.0,0-14,True
S00168,Abigail Ochoa,2018-10-25,Grade 1,(368)454-1821x04368,6.0,0-14,True
S00169,Susan Lloyd,,Grade 3,001-274-287-3477x95645,,Unknown,True
S00170,Krista Stewart,2014-03-16,Grade 5,(896)209-8455x29533,11.0,0-14,True
S00171,James Davila,2017-10-29,Grade 2,(688)489-9712x0262,7.0,0-14,True
S00172,Julia Barnes,2008-09-07,Grade 2,(601)455-2938x238,16.0,15-19,True
S00173,Gregory Santos,2013-08-20,Grade 3,(241)669-8148x705,11.0,0-14,True
S00174,Michael Smith,2015-12-24,Grade 2,681.424.0282,9.0,0-14,True
S00175,Cynthia Torres Md,2007-03-31,Grade 4,800-949-7526,18.0,15-19,True
S00176,Tyler Adams,2010-10-29,Grade 3,667.534.7289x3502,14.0,0-14,True
S00177,Rachel Morgan,,Grade 1,270-747-7816,,Unknown,True
S00178,Jessica Roberson,2013-08-02,Grade 1,(260)676-8371x68947,11.0,0-14,True
S00179,Christopher Carter,2018-09-03,Grade 3,(510)575-9055,6.0,0-14,True
S00180,Carla Allen,2016-07-19,Grade 5,531.749.0576x22563,8.0,0-14,True
S00181,Gregory Davis,,Grade 4,001-303-803-6153x296,,Unknown,True
S00182,Jimmy Mcintosh,2012-10-28,Grade 1,+1-435-633-7347x300,12.0,0-14,True
S00183,John Tyler,,Grade 2,561.396.9968x990,,Unknown,True
S00184,Mathew Thomas,,Grade 5,546.917.5688,,Unknown,True
S00185,Roy Booth,2012-07-16,Grade 2,+1-903-789-9676x5480,12.0,0-14,True
S00186,Holly Moore,2012-01-04,Grade 5,718-580-3296x7478,13.0,0-14,True
S00187,John Williams,2018-07-17,Grade 4,828-813-7149,6.0,0-14,True
S00188,Jeffrey Barnes,2007-10-24,Grade 2,001-945-460-9376x3464,17.0,15-19,True
S00189,Morgan Diaz,2018-03-02,Grade 2,520-367-1169,7.0,0-14,True
S00190,Daniel Baxter,2011-12-04,Grade 5,234-764-3911x11140,13.0,0-14,True
S00191,Samantha Jackson,2018-07-30,Grade 2,+1-790-429-5919,6.0,0-14,True
S00192,Christy Frazier,2011-12-19,Grade 2,(970)453-3104x56607,13.0,0-14,True
S00193,Molly Davis,2014-08-05,Grade 4,5124777785,10.0,0-14,True
S00194,Barbara Frederick,2018-05-22,Grade 4,(706)342-9995x1816,7.0,0-14,True
S00195,Rita Sosa,2017-01-05,Grade 4,+1-518-233-3212x61085,8.0,0-14,True
S00196,Anna Good,2011-12-07,Grade 3,679.646.8286,13.0,0-14,True
S00197,John Mclaughlin,2014-05-25,Grade 2,(343)333-2472x10828,11.0,0-14,True
S00198,Haley Young,,Grade 5,001-704-518-1533x29368,,Unknown,True
S00199,Renee Hunt,2012-10-06,Grade 3,+1-594-219-9144x5443,12.0,0-14,True
S00200,Daniel Stewart,2012-02-17,Grade 4,001-305-566-2294x5737,13.0,0-14,True
S00201,Thomas Pugh,2013-02-16,Grade 5,001-264-519-1497x5267,12.0,0-14,True
S00202,Laura Smith,2007-04-28,Grade 5,001-645-566-2214,18.0,15-19,True
S00203,Andrew Shepard,2012-01-07,Grade 1,001-557-429-5075x77641,13.0,0-14,True
S00204,April Mann,,Grade 4,207-833-3085x876,,Unknown,True
S00205,Danielle Carter,2010-04-23,Grade 3,(433)366-0330x826,15.0,15-19,True
S00206,Suzanne Gilbert,2007-07-28,Grade 1,206-978-0922x211,17.0,15-19,True
S00207,Samantha Phillips,2018-06-23,Grade 5,2649115307,7.0,0-14,True
S00208,Troy Dudley,2014-02-02,Grade 4,503-749-2823x815,11.0,0-14,True
S00209,Daniel Bennett,2010-04-17,Grade 4,721-981-9285,15.0,15-19,True
S00210,Brenda Butler,2011-07-25,Grade 4,+1-523-771-7577x9540,13.0,0-14,True
S00211,Jessica West,2013-07-11,Grade 5,893-397-0073x2346,11.0,0-14,True
S00212,Kristin Drake,2008-10-22,Grade 1,Not Provided,16.0,15-19,True
S00213,William Patterson,,Grade 5,649-445-1660,,Unknown,True
S00214,Allison Cruz,2016-01-01,Grade 2,805.208.5816,9.0,0-14,True
S00215,Marie Carter,,Grade 2,001-727-486-8639x877,,Unknown,True
S00216,Stephen Vaughn,2017-10-25,Grade 3,(658)363-4611x8929,7.0,0-14,True
S00217,Donna Taylor,2015-09-22,Grade 4,321.887.8509x8401,9.0,0-14,True
S00218,Lisa Cooley,2015-12-02,Grade 1,001-272-535-1555,9.0,0-14,True
S00219,Jonathan Ward,2014-01-01,Grade 1,001-375-505-5283x749,11.0,0-14,True
S00220,Wanda Sanchez,2007-08-31,Grade 1,001-714-469-7556x5445,17.0,15-19,True
S00221,Christopher Maynard,2016-08-22,Grade 3,6376071193,8.0,0-14,True
S00222,Juan Richard,,Grade 3,810-839-3427,,Unknown,True
S00223,Bob Mccall,,Grade 1,(657)728-0571x045,,Unknown,True
S00224,Jennifer Malone,2011-10-20,Grade 3,(525)663-5545x82012,13.0,0-14,True
S00225,Dennis Ibarra,2009-09-14,Grade 3,001-570-410-7520,15.0,15-19,True
S00226,Jessica Garcia,,Grade 4,363.549.7552,,Unknown,True
S00227,Nicholas Wright,2008-04-16,Grade 3,646.560.0649x02718,17.0,15-19,True
S00228,Glenn Ashley,2017-06-23,Grade 3,726-345-0839x3632,8.0,0-14,True
S00229,Debbie Cooper,2015-07-26,Grade 3,2002173660,9.0,0-14,True
S00230,Christopher Haynes,2011-05-19,Grade 1,497-228-2883x20003,14.0,0-14,True
S00231,Lisa Cross,,Grade 1,717.767.0860,,Unknown,True
S00232,Clayton Luna,2007-01-26,Grade 4,001-318-352-4768x11966,18.0,15-19,True
S00233,Stephanie Murphy,,Grade 5,+1-774-762-6662x94777,,Unknown,True
S00234,Ronald Wood,2018-04-10,Grade 3,(333)546-0697,7.0,0-14,True
S00235,Christine Dorsey,,Grade 3,782-236-5011,,Unknown,True
S00236,Anne Waters,2006-04-07,Grade 2,682-416-8169x511,19.0,15-19,True
S00237,Robert Williams,2018-03-09,Grade 1,3642413213,7.0,0-14,True
S00238,Jason Fox,2013-04-02,Grade 4,448-664-9894,12.0,0-14,True
S00239,Sean Lane,2010-11-22,Grade 3,001-324-865-2857x931,14.0,0-14,True
S00240,Eric Baxter,2018-06-17,Grade 3,001-484-811-0130,7.0,0-14,True
S00241,Maria Allen,,Grade 2,001-453-440-8320,,Unknown,True
S00242,Sean Brooks,2018-08-02,Grade 4,(557)289-8325,6.0,0-14,True
S00243,Michael Shepard,2009-11-02,Grade 1,001-673-502-6368,15.0,15-19,True
S00244,Taylor Davis,2007-04-05,Grade 4,(384)731-4544x38746,18.0,15-19,True
S00245,William Norton,2009-03-14,Grade 5,307-422-1352x0283,16.0,15-19,True
S00246,Jeffery Smith,2015-02-07,Grade 4,(511)930-8599x9177,10.0,0-14,True
S00247,Brittany Mccarthy,2007-07-15,Grade 4,+1-891-914-3142,17.0,15-19,True
S00248,Susan Turner,2014-04-05,Grade 2,928.455.0769x80479,11.0,0-14,True
S00249,Steven Smith,2010-05-20,Grade 2,241-547-8604,15.0,15-19,True
S00250,William Logan,2007-10-14,Grade 5,(429)396-8256x59884,17.0,15-19,True
S00251,Amy Simon,2014-09-27,Grade 2,(234)481-0848,10.0,0-14,True
S00252,Michelle Murphy,2012-07-07,Grade 5,(250)952-7519x2734,12.0,0-14,True
S00253,Clifford Bentley,2016-11-27,Grade 2,001-829-396-0463x5857,8.0,0-14,True
S00254,Daniel Bender,2010-05-16,Grade 4,001-249-996-1585x28916,15.0,15-19,True
S00255,Spencer Wilson,2017-01-01,Grade 1,001-651-459-2147x454,8.0,0-14,True
S00256,Belinda Holt,2006-09-11,Grade 2,230.522.1382,18.0,15-19,True
S00257,Ralph Kelly,2016-12-09,Grade 1,(696)272-4744,8.0,0-14,True
S00258,Michael Levine,,Grade 4,(307)307-0939,,Unknown,True
S00259,Ashley Nicholson,2009-06-06,Grade 3,739-959-0159,16.0,15-19,True
S00260,Caitlyn Davis,2011-07-16,Grade 4,(302)867-9917x3565,13.0,0-14,True
S00261,Kevin Smith,2017-03-30,Grade 1,001-969-500-0112,8.0,0-14,True
S00262,Kyle Luna,2012-12-01,Grade 3,339.313.4903,12.0,0-14,True
S00263,Dawn Hodge,2008-08-26,Grade 5,+1-371-803-6019x85442,16.0,15-19,True
S00264,Antonio Chung,2009-07-09,Grade 2,756.484.0271,15.0,15-19,True
S00265,Tracy Chandler,2008-08-11,Grade 3,+1-488-998-5404x29392,16.0,15-19,True
S00266,Kimberly Mercer,2019-02-04,Grade 3,656-516-3590x200,6.0,0-14,True
S00267,Laura Mcdonald,,Grade 3,001-409-269-6055x61523,,Unknown,True
S00268,Shawn Owens,2014-02-11,Grade 1,+1-576-442-0241x658,11.0,0-14,True
S00269,Michael Flores,,Grade 2,Not Provided,,Unknown,True
S00270,Katherine Gill,2010-05-07,Grade 2,(607)343-5848x378,15.0,15-19,True
S00271,Todd Anderson,2010-10-21,Grade 1,+1-714-998-1989x7647,14.0,0-14,True
S00272,Nicholas Boone,2013-03-03,Grade 3,+1-962-556-7663x579,12.0,0-14,True
S00273,Natalie Burke,2014-09-07,Grade 1,001-666-687-4187,10.0,0-14,True
S00274,William Wilkerson,2013-02-04,Grade 3,Not Provided,12.0,0-14,True
S00275,Christopher Turner,2013-06-12,Grade 2,+1-380-412-8990x924,12.0,0-14,True
S00276,Megan Flores,2018-12-25,Grade 3,(761)315-0354x9210,6.0,0-14,True
S00277,Cheryl Mason,2016-04-21,Grade 4,744.605.2373,9.0,0-14,True
S00278,Matthew Mejia,2014-05-03,Grade 5,+1-885-808-8424x487,11.0,0-14,True
S00279,Mr. Michael Stewart,,Grade 3,756-456-4599x54183,,Unknown,True
S00280,Christopher Lopez,2011-09-07,Grade 4,+1-514-575-5938x1699,13.0,0-14,True
S00281,Kimberly Woods,2018-02-19,Grade 1,+1-788-448-5766x13591,7.0,0-14,True
S00282,James Fuller,2016-08-29,Grade 3,3514503724,8.0,0-14,True
S00283,Keith Booker,2011-09-27,Grade 5,462.559.6562,13.0,0-14,True
S00284,Cheryl Green,2009-06-26,Grade 4,001-798-466-2186x4297,16.0,15-19,True
S00285,Chad Wood,2012-04-10,Grade 5,993-249-9121,13.0,0-14,True
S00286,Martha Perez,,Grade 3,(996)697-4699x7295,,Unknown,True
S00287,Michael Price,2006-11-18,Grade 3,266-863-7574,18.0,15-19,True
S00288,Gary Hudson,2006-11-21,Grade 4,502-708-6285x226,18.0,15-19,True
S00289,Timothy Hall,2008-07-01,Grade 3,001-264-771-4878,16.0,15-19,True
S00290,James Camacho,2007-11-14,Grade 5,(635)518-9356x07862,17.0,15-19,True
S00291,Victoria Tucker,2013-06-27,Grade 4,926.830.9225x170,11.0,0-14,True
S00292,Danny Johnson,2016-03-27,Grade 3,610-645-4882,9.0,0-14,True
S00293,Denise Ramsey,2012-11-15,Grade 3,Not Provided,12.0,0-14,True
S00294,Michelle Barker,2016-07-07,Grade 5,001-314-557-2806,8.0,0-14,True
S00295,Kyle Lynch,2012-11-15,Grade 4,(262)631-6941x220,12.0,0-14,True
S00296,Tracey Murphy,2014-02-20,Grade 2,840.331.7845x984,11.0,0-14,True
S00297,Jeremy Ferguson,2014-06-21,Grade 4,478-672-6584x0960,11.0,0-14,True
S00298,Jeffery Gilmore,2017-03-20,Grade 3,(325)581-3080,8.0,0-14,True
S00299,Laura Smith,2011-01-16,Grade 1,913.401.4861x52246,14.0,0-14,True
S00300,Ms. Karen Thomas Md,2007-06-13,Grade 2,+1-760-286-9971,18.0,15-19,True
S00301,Vanessa Anderson,2014-07-13,Grade 3,501-423-1521x4109,10.0,0-14,True
S00302,Dr. Valerie Black,2016-01-17,Grade 1,Not Provided,9.0,0-14,True
S00303,Abigail Price,2006-11-01,Grade 2,+1-891-921-1661x00937,18.0,15-19,True
S00304,Scott Fleming,2013-04-14,Grade 1,+1-673-773-3905x982,12.0,0-14,True
S00305,Victoria Chambers,2006-07-11,Grade 5,001-630-432-4098,18.0,15-19,True
S00306,Matthew Butler,2008-01-24,Grade 2,(230)208-4513x51242,17.0,15-19,True
S00307,Christine Daniel,,Grade 1,694.249.3882,,Unknown,True
S00308,Grace Hardy,2007-06-18,Grade 2,001-336-679-5747x854,18.0,15-19,True
S00309,Emma Thompson,2009-07-20,Grade 3,229.280.9049,15.0,15-19,True
S00310,Christopher Henry,,Grade 2,+1-379-211-6066x49207,,Unknown,True
S00311,Alexandra King,2010-08-04,Grade 4,5418616241,14.0,0-14,True
S00312,Henry Rhodes,2015-12-09,Grade 2,001-449-400-8653x305,9.0,0-14,True
S00313,Angela Davis,2012-04-27,Grade 2,+1-996-954-2014x44063,13.0,0-14,True
S00314,Shane Olson,,Grade 3,575-337-4190x8246,,Unknown,True
S00315,Martin Buck,2017-09-07,Grade 1,846-277-2933x880,7.0,0-14,True
S00316,Taylor Ferguson,2017-07-30,Grade 5,363.919.2666x3133,7.0,0-14,True
S00317,Kelsey Jones,2018-04-02,Grade 1,537.471.5009x643,7.0,0-14,True
S00318,Matthew Bass,2006-09-26,Grade 5,572.695.5618,18.0,15-19,True
